order,wll
73,8320.64
73,8322.34
73,8329.97
73,8332.04
73,8335.6
73,8335.85
73,8337.99
73,8339.79
73,8349.05
73,8352.94
73,8359.36
73,8363.3
73,8363.55
73,8366.59
73,8369.52
73,8372.82
73,8382.78
73,8384.17
73,8386.6
73,8389.87
73,8391.48
73,8394.81
73,8395.12
73,8396.56
73,8397.24
73,8399.5
73,8401.55
73,8402.48
73,8403.95
73,8408.37
73,8411.82
73,8424.17
73,8426.11
73,8429.06
73,8432.98
73,8436.31
73,8441.43
73,8443.52
73,8445.52
72,8424.17
72,8426.11
72,8436.31
72,8441.43
72,8445.52
72,8455.64
72,8459.72
72,8473.64
72,8474.84
72,8485.42
72,8488.26
72,8493.97
72,8506.89
72,8510.85
72,8515.6
72,8516.22
72,8522.18
72,8523.24
72,8523.58
72,8528.7
72,8533.45
72,8536.92
72,8541.14
72,8542.53
72,8544.68
72,8548.94
72,8552.84
72,8553.66
72,8556.36
72,8558.04
72,8559.68
72,8561.55
71,8542.53
71,8544.68
71,8548.94
71,8549.86
71,8551.01
71,8558.04
71,8559.68
71,8561.55
71,8565.14
71,8569.3
71,8570.07
71,8572.87
71,8578.98
71,8581.41
71,8586.7
71,8586.96
71,8591.8
71,8596.44
71,8598.86
71,8599.98
71,8602.32
71,8602.99
71,8607.34
71,8612.03
71,8615.14
71,8617.96
71,8620.83
71,8624.36
71,8628.34
71,8643.5
71,8644.22
71,8647.05
71,8648.29
71,8655.18
71,8661.94
71,8665.54
71,8672.76
71,8674.98
71,8676.23
71,8677.82
70,8672.76
70,8677.82
70,8686.94
70,8687.49
70,8695.78
70,8700.67
70,8701.35
70,8709.56
70,8710.04
70,8711.29
70,8714.61
70,8720.46
70,8722.87
70,8731.13
70,8737.46
70,8739.9
70,8746.24
70,8747.33
70,8750.2
70,8751.26
70,8754.21
70,8757.34
70,8768.63
70,8780.1
70,8789.12
70,8794.36
70,8796.68
70,8800.76
69,8789.12
69,8804.91
69,8811.86
69,8813.65
69,8814.44
69,8818.99
69,8823.78
69,8830.43
69,8830.93
69,8836.18
69,8849.25
69,8852.63
69,8858.94
69,8863.02
69,8865.78
69,8870.5
69,8874.63
69,8875.27
69,8887.7
69,8888.02
69,8889.71
69,8890.2
69,8890.56
69,8890.9
69,8891.71
69,8896.6
69,8904.18
69,8914.17
69,8918.12
69,8928.66
69,8929.07
69,8933.67
68,8914.17
68,8917.82
68,8927.27
68,8928.66
68,8929.07
68,8930.02
68,8937.34
68,8940.22
68,8942.23
68,8943.64
68,8944.48
68,8944.84
68,8947.65
68,8957.77
68,8967.86
68,8969.54
68,8977.39
68,8977.96
68,8984.46
68,8985.78
68,8989.37
68,8997.3
68,8998.58
68,9001.56
68,9012.11
68,9014.54
68,9018.61
68,9021.28
68,9023.5
68,9025.98
68,9027.7
68,9033.14
68,9034.42
68,9035.65
68,9038.21
68,9039.44
68,9043.26
68,9047.22
68,9048.78
68,9049.81
68,9053.04
68,9054.33
68,9055.22
68,9056.84
67,9049.81
67,9056.84
67,9065.79
67,9075.77
67,9080.97
67,9085.15
67,9088.75
67,9090.1
67,9094.54
67,9097.09
67,9100.6
67,9101.77
67,9102.52
67,9104.96
67,9108.26
67,9110.39
67,9113.04
67,9115.27
67,9120.39
67,9127.32
67,9131.23
67,9137.52
67,9138.67
67,9142.07
67,9157.13
67,9169.59
67,9178.0
67,9178.54
67,9183.6
67,9185.77
67,9189.23
67,9189.93
67,9195.81
67,9198.44
67,9199.74
66,9189.23
66,9195.81
66,9199.43
66,9199.74
66,9213.32
66,9214.43
66,9227.79
66,9232.65
66,9236.08
66,9238.5
66,9240.57
66,9243.76
66,9245.25
66,9245.59
66,9251.1
66,9261.61
66,9262.98
66,9267.02
66,9267.88
66,9270.2
66,9291.43
66,9302.07
66,9304.44
66,9305.99
66,9307.41
66,9307.79
66,9310.38
66,9324.25
66,9324.72
66,9327.51
66,9332.0
65,9332.0
65,9354.67
65,9355.92
65,9362.66
65,9363.44
65,9363.92
65,9382.98
65,9388.48
65,9389.56
65,9392.75
65,9401.83
65,9406.86
65,9419.26
65,9430.05
65,9431.38
65,9432.94
65,9438.83
65,9444.72
65,9458.44
65,9459.44
65,9474.43
65,9475.27
65,9480.03
65,9483.73
64,9474.43
64,9483.73
64,9496.4
64,9501.48
64,9502.73
64,9510.77
64,9514.29
64,9521.17
64,9532.68
64,9538.97
64,9542.59
64,9543.91
64,9546.24
64,9553.6
64,9560.56
64,9567.87
64,9568.69
64,9570.56
64,9573.17
64,9574.54
64,9580.56
64,9586.73
64,9587.24
64,9590.58
64,9594.04
64,9607.15
64,9610.88
64,9616.52
64,9619.69
64,9624.95
64,9628.05
64,9632.43
63,9628.05
63,9644.71
63,9648.01
63,9651.82
63,9663.0
63,9680.04
63,9685.21
63,9693.55
63,9694.84
63,9696.73
63,9698.7
63,9700.69
63,9707.13
63,9726.99
63,9729.99
63,9736.77
63,9742.96
63,9744.32
63,9757.37
63,9760.09
63,9762.38
63,9763.33
63,9778.08
62,9778.08
62,9793.06
62,9793.66
62,9794.41
62,9800.82
62,9809.36
62,9810.37
62,9821.69
62,9823.53
62,9827.14
62,9830.32
62,9834.61
62,9852.56
62,9860.08
62,9869.82
62,9871.07
62,9876.25
62,9881.54
62,9884.18
62,9897.99
62,9899.2
62,9908.61
62,9910.71
62,9913.97
62,9919.93
62,9921.23
62,9921.85
62,9933.45
62,9935.48
62,9943.77
61,9964.35
61,9966.84
61,9968.02
61,9987.82
61,9989.55
61,9999.76
61,10013.57
61,10036.34
61,10036.67
61,10041.57
61,10043.27
61,10072.78
61,10076.35
61,10077.95
61,10088.8
61,10098.04
61,10106.26
60,10106.26
60,10119.46
60,10125.26
60,10159.39
60,10187.1
60,10248.53
60,10249.75
60,10262.36
59,10311.18
59,10316.59
59,10351.12
59,10356.22
59,10381.12
58,10520.4
58,10557.82
117,5230.44
117,5234.67
117,5244.96
117,5249.21
116,5267.46
116,5283.46
116,5289.85
115,5313.36
115,5314.21
115,5320.49
115,5323.09
115,5329.24
115,5346.82
114,5358.68
114,5360.92
114,5363.15
114,5365.3
114,5365.54
114,5371.69
114,5375.71
114,5380.18
114,5387.31
113,5387.31
113,5407.48
113,5408.13
113,5409.84
113,5417.54
113,5420.56
113,5420.88
113,5423.85
113,5426.22
113,5427.87
113,5430.37
113,5436.98
113,5442.6
113,5445.98
112,5436.98
112,5443.5
112,5445.98
112,5456.77
112,5458.29
112,5462.81
112,5466.4
112,5476.01
112,5477.81
112,5479.02
112,5479.9
112,5491.55
111,5488.77
111,5498.67
111,5500.5
111,5501.28
111,5501.63
111,5504.7
111,5505.18
111,5507.0
111,5508.59
111,5514.92
111,5518.08
111,5519.67
111,5524.46
111,5527.31
111,5527.59
111,5527.87
111,5528.66
111,5529.84
111,5530.49
111,5533.37
111,5537.31
111,5538.06
111,5539.73
111,5547.29
111,5548.51
110,5537.31
110,5539.73
110,5545.33
110,5547.29
110,5548.51
110,5549.58
110,5551.22
110,5552.97
110,5558.65
110,5562.68
110,5566.87
110,5568.37
110,5568.88
110,5569.34
110,5571.6
110,5575.47
110,5577.23
110,5577.88
110,5579.42
110,5580.07
110,5580.42
109,5579.42
109,5580.07
109,5593.44
109,5598.68
109,5601.75
109,5602.83
109,5608.24
109,5609.72
109,5611.8
109,5620.91
109,5621.38
109,5624.53
109,5626.98
109,5628.99
109,5629.71
109,5630.31
109,5631.0
109,5632.38
