
jd,d_a,d_a_std,d_b,d_b_std,dd,dd_std,tccd,t1,t2,t3,t4,t5,t6,t7,t8,p,dd_rv,date
58159.761296,0.019274,0.017360,0.017591,0.016868,0.078610,0.018519,-113.222437,10.761571,10.589200,10.588000,10.419786,10.369500,10.291143,10.384800,10.258333,0.000012,98.212309,2018-02-10
58160.752211,0.021578,0.016103,0.020288,0.014845,0.078176,0.018404,-113.222032,10.763786,10.590786,10.590143,10.421067,10.373200,10.294000,10.387571,10.261643,0.000012,97.736494,2018-02-11
58163.603056,0.436406,0.047998,0.435328,0.048601,0.077866,0.018847,-113.240875,10.993714,10.820857,10.821286,10.659857,10.610214,10.533600,10.628333,10.501143,0.000010,97.356438,2018-02-14
58164.703889,0.364139,0.036465,0.363475,0.036749,0.077415,0.019175,-113.239208,10.959357,10.786571,10.785500,10.614500,10.566786,10.486800,10.579600,10.454000,0.001199,96.672824,2018-02-15
58165.662384,0.278600,0.023597,0.277739,0.023748,0.077839,0.020208,-113.239054,10.926500,10.754133,10.752857,10.581786,10.533714,10.454214,10.547000,10.421857,0.000020,97.140223,2018-02-16
58166.676979,0.217069,0.013712,0.216148,0.014458,0.077806,0.018234,-113.237539,10.895733,10.722667,10.722000,10.551867,10.503286,10.423929,10.516286,10.391000,0.000020,97.247349,2018-02-17
58167.714433,0.163048,0.006889,0.160823,0.006084,0.079235,0.018951,-113.237153,10.869571,10.697067,10.696071,10.525786,10.476571,10.397000,10.490000,10.364429,0.000018,98.968690,2018-02-18
58169.663171,0.109979,0.006118,0.108574,0.004477,0.078265,0.019725,-113.238790,10.832267,10.659571,10.658267,10.489267,10.440133,10.360643,10.454571,10.327933,0.000017,97.930423,2018-02-20
58170.656551,0.069734,0.010218,0.068108,0.009518,0.078426,0.019144,-113.235780,10.819000,10.645929,10.645357,10.475500,10.426400,10.347800,10.441786,10.314786,0.000019,98.025018,2018-02-21
58171.684236,0.057200,0.013019,0.054917,0.012095,0.079221,0.018544,-113.238274,10.810000,10.637643,10.636429,10.467429,10.419467,10.340200,10.433714,10.307643,0.000016,98.986747,2018-02-22
58172.625266,0.051709,0.013706,0.050816,0.012412,0.077715,0.018518,-113.236256,10.802357,10.629929,10.628857,10.459929,10.410929,10.332667,10.425929,10.300143,0.000018,97.153582,2018-02-23
58173.751632,0.044762,0.014456,0.043009,0.013095,0.078483,0.018028,-113.236415,10.793800,10.620733,10.620067,10.451143,10.401929,10.323571,10.417071,10.290400,0.000017,98.209752,2018-02-24
58174.768935,0.046554,0.014226,0.044864,0.012900,0.078629,0.018696,-113.237580,10.786667,10.613533,10.613000,10.444267,10.396286,10.316786,10.410714,10.284800,0.000018,98.326366,2018-02-25
58175.707986,0.035158,0.015955,0.033909,0.015072,0.078322,0.018972,-113.235229,10.781571,10.608714,10.608000,10.439357,10.392000,10.312733,10.406733,10.280857,0.000019,97.777554,2018-02-26
58176.689838,0.018894,0.017229,0.018079,0.016008,0.077808,0.018824,-113.235577,10.775500,10.602643,10.601857,10.433133,10.385333,10.305933,10.400000,10.273643,0.000017,97.325612,2018-02-27
58177.663403,0.014661,0.017575,0.013072,0.017226,0.078476,0.019192,-113.234351,10.771429,10.598667,10.598071,10.429357,10.380500,10.302429,10.396000,10.269786,0.000018,97.998339,2018-02-28
58180.770278,0.017157,0.017891,0.016696,0.017292,0.077389,0.019425,-113.234750,10.765929,10.593214,10.592500,10.424071,10.376214,10.297400,10.391000,10.265000,0.000017,96.634175,2018-03-03
58181.767396,0.010889,0.019308,0.010478,0.018260,0.077312,0.018068,-113.235571,10.760786,10.588333,10.587214,10.418857,10.369929,10.291286,10.385200,10.258929,0.000019,96.707809,2018-03-04
58182.677535,-0.005408,0.021500,-0.006504,0.020936,0.077963,0.018474,-113.235324,10.761133,10.588643,10.588000,10.419600,10.371143,10.292214,10.386500,10.259733,0.000019,97.329050,2018-03-05
58183.650880,0.012138,0.019610,0.010618,0.018287,0.078369,0.019247,-113.234994,10.758214,10.585643,10.584286,10.416357,10.367200,10.288800,10.383071,10.256000,0.000017,97.970811,2018-03-06
58184.673102,0.022331,0.017714,0.022220,0.016772,0.077053,0.018625,-113.234182,10.759000,10.586133,10.585286,10.417357,10.368571,10.290357,10.384286,10.257929,0.000019,96.384611,2018-03-07
58185.651771,0.019956,0.017323,0.019212,0.016179,0.077672,0.018766,-113.236812,10.759714,10.586929,10.586500,10.418214,10.369071,10.290733,10.384200,10.258143,0.000017,97.109297,2018-03-08
58186.657813,0.027399,0.016219,0.026612,0.014752,0.077723,0.018950,-113.235714,10.761714,10.589357,10.588143,10.419786,10.371733,10.293200,10.387214,10.261143,0.000018,97.239367,2018-03-09
58187.749225,0.021930,0.017267,0.021286,0.015195,0.077655,0.018285,-113.234006,10.764786,10.592000,10.591357,10.423000,10.374357,10.295786,10.389467,10.263571,0.000019,97.192309,2018-03-10
58188.813542,0.020700,0.017834,0.019566,0.016258,0.078108,0.019147,-113.233937,10.765714,10.593143,10.592071,10.423643,10.375267,10.296200,10.389643,10.264000,0.000018,97.725198,2018-03-11
58189.713993,0.037495,0.015768,0.036619,0.014716,0.077723,0.018300,-113.233455,10.764214,10.591733,10.590643,10.422000,10.372143,10.293857,10.387867,10.261214,0.000020,97.200401,2018-03-12
58190.650961,0.038273,0.014492,0.037483,0.013282,0.077792,0.018424,-113.234604,10.766071,10.593333,10.592643,10.423929,10.375500,10.296429,10.390333,10.263929,0.000019,97.254052,2018-03-13
58191.661181,0.025401,0.016318,0.025234,0.014236,0.077194,0.018454,-113.232333,10.767714,10.595467,10.593857,10.426357,10.376786,10.299214,10.392733,10.265643,0.000016,96.692359,2018-03-14
58192.723819,0.007528,0.019566,0.006987,0.018423,0.077570,0.018796,-113.231338,10.766143,10.593800,10.592500,10.423571,10.374000,10.294929,10.389400,10.263071,0.000020,97.055747,2018-03-15
58193.684086,0.001706,0.020142,0.001074,0.019526,0.077538,0.018808,-113.236396,10.765357,10.592929,10.591643,10.422857,10.374000,10.295200,10.389000,10.262857,0.000019,96.819435,2018-03-16
58194.753333,-0.006586,0.021390,-0.007767,0.020452,0.078145,0.018561,-113.234125,10.765000,10.592214,10.591357,10.423143,10.375000,10.296067,10.389714,10.263857,0.000019,97.699765,2018-03-17
58195.629109,-0.003006,0.020757,-0.004287,0.019890,0.078339,0.018631,-113.232750,10.761929,10.589400,10.588429,10.419286,10.371143,10.292071,10.386000,10.260000,0.000018,97.808653,2018-03-18
58198.648785,0.025605,0.018422,0.024388,0.016923,0.078051,0.018756,-113.232521,10.758643,10.585286,10.584857,10.416571,10.367786,10.289333,10.382867,10.255929,0.000020,97.682526,2018-03-21
58199.656424,0.031267,0.017926,0.029699,0.016677,0.078482,0.018467,-113.232676,10.761714,10.589067,10.587643,10.419714,10.370286,10.291786,10.385733,10.259643,0.000021,98.230513,2018-03-22
58200.645799,0.032066,0.016100,0.030722,0.015635,0.078170,0.018638,-113.233091,10.766286,10.593333,10.592714,10.424500,10.376571,10.298000,10.392000,10.265714,0.000019,97.587168,2018-03-23
58201.628646,0.014211,0.020217,0.012439,0.018622,0.078722,0.019425,-113.232460,10.764600,10.591867,10.590600,10.422286,10.373714,10.294429,10.388071,10.262467,0.000019,98.432794,2018-03-24
58202.782581,0.022353,0.017449,0.021236,0.016228,0.077958,0.018283,-113.232095,10.764429,10.591714,10.590643,10.422000,10.373733,10.294667,10.388357,10.262429,0.000022,97.500710,2018-03-25
