wlc,wll,posc,posm,posme,posmy,d,sd,k,order,flag
5198.25518339,5198.24252659,0.00000000,2561.52992792,0.12500674,16.99657977,0.01998469,0.01998464,38445,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.99950721,nan,0.00000000,-2147483648,118,1
5198.50102838,5198.51303448,0.00000000,2573.52418199,0.25546487,17.00211692,0.01998460,0.01998464,38443,118,1
5198.65855438,5198.64829899,0.00000000,2581.22008222,0.23087564,17.00396188,0.01998468,0.01998464,38442,118,1
5198.65855438,5198.64829899,0.00000000,2581.22008222,0.23087564,17.00396188,0.01998468,0.01998464,38442,118,1
5198.79023458,5198.78357053,0.00000000,2587.65963311,0.25890365,17.00447966,0.01998467,0.01998464,38441,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,17.00376091,nan,0.00000000,-2147483648,118,1
5199.05872668,5199.05413473,0.00000000,2600.80765227,0.21147163,17.00263424,0.01998466,0.01998464,38439,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,17.00041557,nan,0.00000000,-2147483648,118,1
5199.32007368,5199.32472710,0.00000000,2613.62903714,0.25858002,16.99708302,0.01998463,0.01998464,38437,118,1
5199.46078186,5199.46003384,2620.49872159,2620.53548175,0.13267107,16.99255834,0.01998465,0.01998464,38436,118,0
5199.59143192,5199.59534763,0.00000000,2626.96598190,0.12395442,16.98738012,0.01998463,0.01998464,38435,118,1
5199.75491986,5199.73066846,0.00000000,2635.01329534,0.28042128,16.97958929,0.01998474,0.01998464,38434,118,1
5199.75491986,5199.73066846,0.00000000,2635.01329534,0.28042128,16.97958929,0.01998474,0.01998464,38434,118,1
5199.86278751,5199.86599634,0.00000000,2640.32781781,0.17673732,16.97364577,0.01998463,0.01998464,38433,118,1
5199.98873150,5200.00133126,0.00000000,2646.53797579,0.06108357,16.96589649,0.01998460,0.01998465,38432,118,1
5200.14214020,nan,0.00000000,2654.10973315,0.23089168,16.95527655,0.01998467,0.01998465,38431,118,1
5200.27188868,nan,0.00000000,2660.52001452,0.14001187,16.94528023,0.01998465,0.01998465,38430,118,1
5200.40373332,5200.40737828,0.00000000,2667.03980402,0.14513252,16.93416837,0.01998463,0.01998465,38429,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.92125547,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.91734450,nan,0.00000000,-2147483648,118,1
5200.67584253,5200.67811153,0.00000000,2680.51477957,0.20264272,16.90818716,0.01998464,0.01998465,38427,118,1
5200.79859915,5200.81348872,0.00000000,2686.60216693,0.02567821,16.89511920,0.01998459,0.01998465,38426,118,1
5200.95513956,5200.94887297,0.00000000,2694.37248797,0.15729457,16.87723712,0.01998467,0.01998465,38425,118,1
5200.95513956,5200.94887297,0.00000000,2694.37248797,0.15729457,16.87723712,0.01998467,0.01998465,38425,118,1
5201.09126913,5201.08426426,0.00000000,2701.13663164,0.20902669,16.86057527,0.01998467,0.01998465,38424,118,1
5201.21797217,5201.21966260,0.00000000,2707.43822478,0.30779022,16.84413685,0.01998464,0.01998465,38423,118,1
5201.35851757,5201.35506799,0.00000000,2714.43488203,0.14225427,16.82485179,0.01998466,0.01998465,38422,118,1
5201.48707346,5201.49048043,0.00000000,2720.84078241,0.06893980,16.80624288,0.01998463,0.01998465,38421,118,1
5201.60424805,5201.62589992,0.00000000,2726.68465397,0.17726395,16.78847403,0.01998456,0.01998465,38420,118,1
5201.77998387,5201.76132646,0.00000000,2735.45830272,0.29014731,16.76037954,0.01998472,0.01998465,38419,118,1
5201.77998387,5201.76132646,0.00000000,2735.45830272,0.29014731,16.76037954,0.01998472,0.01998465,38419,118,1
5201.89679442,5201.89676005,2741.29268629,2741.29440494,0.13454781,16.74075096,0.01998465,0.01998465,38418,118,0
5202.04142503,5202.03220070,0.00000000,2748.53119053,0.23630704,16.71537012,0.01998468,0.01998465,38417,118,1
5202.18274759,5202.16764840,0.00000000,2755.60796062,0.16998210,16.68943779,0.01998471,0.01998465,38416,118,1
5202.29859240,5202.30310315,0.00000000,2761.41428014,0.23187217,16.66734101,0.01998463,0.01998465,38415,118,1
5202.42347606,5202.43856496,0.00000000,2767.67906075,0.31122785,16.64267231,0.01998459,0.01998465,38414,118,1
5202.57188385,5202.57403382,0.00000000,2775.13126110,0.23920666,16.61221235,0.01998464,0.01998465,38413,118,1
5202.70230175,5202.70950974,0.00000000,2781.68670510,0.14595870,16.58441804,0.01998462,0.01998465,38412,118,1
5202.81712213,5202.84499271,0.00000000,2787.46326330,0.29574242,16.55915245,0.01998454,0.01998465,38411,118,1
5202.81712213,nan,0.00000000,2787.46326330,0.29574242,16.55915245,0.01998454,0.01998465,38411,118,1
